Term ID,Term name,Hierarchy role,Parent names,Full hierarchy path(s)
879,Trade Facilitation,Child and parent,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > Trade Facilitation
1870,EU Project TOAX: SIECA Reform Tracker,Leaf child,Trade Facilitation,Technology and Logistics > Transport and Trade Logistics > Trade Facilitation > EU Project TOAX: SIECA Reform Tracker
1918,TradeMark Project TOBN: Trade Information Portal in DR Congo,Leaf child,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > TradeMark Project TOBN: Trade Information Portal in DR Congo
882,Transport Blog Posts,Leaf child,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > Transport Blog Posts
883,Transport Infrastructure and Services,Child and parent,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > Transport Infrastructure and Services
1909,Korea Project: Global Port Infrastructure Sufficiency Index (PISI),Leaf child,Transport Infrastructure and Services,Technology and Logistics > Transport and Trade Logistics > Transport Infrastructure and Services > Korea Project: Global Port Infrastructure Sufficiency Index (PISI)
1655,UNDA Project 1415O: Climate change impacts and adaptation,Leaf child,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > UNDA Project 1415O: Climate change impacts and adaptation
1565,UNDA Project 2023X: Transport and trade connectivity in the age of COVID-19,Leaf child,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > UNDA Project 2023X: Transport and trade connectivity in the age of COVID-19
1653,UNDA Project 2225E: Smart Ports for African countries,Leaf child,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > UNDA Project 2225E: Smart Ports for African countries
1665,UNDA Project 2225U: Blockchain for trade facilitation,Leaf child,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > UNDA Project 2225U: Blockchain for trade facilitation
1735,UNDA Project 2326F: ASYREC in the Pacific region,Leaf child,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > UNDA Project 2326F: ASYREC in the Pacific region
1789,UNDA Project 2427C: Food Supply Chains,Leaf child,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > UNDA Project 2427C: Food Supply Chains
1858,UNDA Project 2528D: Climate-smart trade facilitation,Leaf child,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > UNDA Project 2528D: Climate-smart trade facilitation
1833,UNDA Project 809AP: Cross-border Transport in LLDCs,Leaf child,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > UNDA Project 809AP: Cross-border Transport in LLDCs
886,"Transport, Climate Change Impacts and Adaptation [DO NOT USE]",Leaf child,Technology and Logistics,"Technology and Logistics > Transport, Climate Change Impacts and Adaptation [DO NOT USE]"
1431,UNDA Project 1415Q: Capacity-building for shift to sustainable freight transport,Leaf child,Technology and Logistics,Technology and Logistics > UNDA Project 1415Q: Capacity-building for shift to sustainable freight transport
887,UNDA Project 1415Q: Shift towards sustainable freight transport,Leaf child,Technology and Logistics,Technology and Logistics > UNDA Project 1415Q: Shift towards sustainable freight transport
888,UNDA Project 1819L: STI Policy in Africa and Asia,Leaf child,Technology and Logistics,Technology and Logistics > UNDA Project 1819L: STI Policy in Africa and Asia
889,UNDA Project 1819N: Skills for e-Commerce in South-East Asia,Leaf child,Technology and Logistics,Technology and Logistics > UNDA Project 1819N: Skills for e-Commerce in South-East Asia
796,Trade and the creative economy,Standalone root,,Trade and the creative economy
890,UN-CEB Inter-agency Cluster,Standalone root,,UN-CEB Inter-agency Cluster
898,UNCTAD and South-South Cooperation BAPA+40,Standalone root,,UNCTAD and South-South Cooperation BAPA+40
1797,UNCTAD at 60,Root parent,,UNCTAD at 60
1799,UNCTAD at 60 (Key Speakers),Leaf child,UNCTAD at 60,UNCTAD at 60 > UNCTAD at 60 (Key Speakers)
1798,UNCTAD at 60 Pre-event,Leaf child,UNCTAD at 60,UNCTAD at 60 > UNCTAD at 60 Pre-event
917,UNCTAD at COP27,Standalone root,,UNCTAD at COP27
893,UNCTAD at COP28,Root parent,,UNCTAD at COP28
1765,COP28 Side Event,Leaf child,UNCTAD at COP28,UNCTAD at COP28 > COP28 Side Event
1764,COP28 Trade Day,Leaf child,UNCTAD at COP28,UNCTAD at COP28 > COP28 Trade Day
1763,COP28 Trade House,Leaf child,UNCTAD at COP28,UNCTAD at COP28 > COP28 Trade House
1592,UNCTAD at COP29,Root parent,,UNCTAD at COP29
1832,"COP29 Climate Finance, Investment and Trade Day",Leaf child,UNCTAD at COP29,"UNCTAD at COP29 > COP29 Climate Finance, Investment and Trade Day"
1831,COP29 Side Event,Leaf child,UNCTAD at COP29,UNCTAD at COP29 > COP29 Side Event
1830,COP29 Trade and Investment House,Leaf child,UNCTAD at COP29,UNCTAD at COP29 > COP29 Trade and Investment House
1901,UNCTAD at COP30,Root parent,,UNCTAD at COP30
1902,UNCTAD at COP30: Event,Leaf child,UNCTAD at COP30,UNCTAD at COP30 > UNCTAD at COP30: Event
1868,UNCTAD at FFD4,Root parent,,UNCTAD at FFD4
1869,UNCTAD at FFD4 PrepCom,Leaf child,UNCTAD at FFD4,UNCTAD at FFD4 > UNCTAD at FFD4 PrepCom
899,UNCTAD at the UN Oceans Conference 2022,Standalone root,,UNCTAD at the UN Oceans Conference 2022
1861,UNCTAD at the UN Oceans Conference 2025,Root parent,,UNCTAD at the UN Oceans Conference 2025
1864,UNOC3 Blue Zone,Leaf child,UNCTAD at the UN Oceans Conference 2025,UNCTAD at the UN Oceans Conference 2025 > UNOC3 Blue Zone
1865,UNOC3 Green Zone,Leaf child,UNCTAD at the UN Oceans Conference 2025,UNCTAD at the UN Oceans Conference 2025 > UNOC3 Green Zone
904,UNCTAD Blogs,Standalone root,,UNCTAD Blogs
1762,UNCTAD E-Week 2023,Standalone root,,UNCTAD E-Week 2023
910,UNCTAD Home,Standalone root,,UNCTAD Home
911,UNCTAD NTFC Forum Africa 2018,Standalone root,,UNCTAD NTFC Forum Africa 2018
1647,UNCTAD NTFC Global Forum 2022,Standalone root,,UNCTAD NTFC Global Forum 2022
